plugin, operation, time (ms), max (ms), num
"tainted.loop.SccIteratorPlugin$Cleaner", "nextIterationForVar", 105, 9, 56 632
"cpp.UseAfterMovePlugin$PassedToFuncAfterMoveHandler", "passedToFuncAfterApply", 103, 10, 11 997
"newdelete.NewDeletePlugin$AmlReleasedHandler", "apply", 102, 11, 1 947
"DFA", "thrown only", 102, 10, 1 358
"grep.BadStringPlugin$BadStringHandler", "derefExplicitly", 101, 12, 66 664
"derefofnull.DerefOfNullRetStatPlugin$RetHandler", "apply", 100, 22, 1 621
"BufferOverflowPropagator", "annotationApply-applyToCallerContext", 96, 3, 744
"attr EscapeValue", "join", 95, 6, 70 847
"negative.NegativeErrorPlugin$CantBeNegativeHandler", "notSmaller", 95, 93, 1 620
"leaks.EscapePlugin$EscapeValueHandler", "funcRetCall", 94, 6, 5 527
"derefofnull.NullAfterDerefPlugin$NullPtrProjectionHandler", "equals", 93, 12, 2 600
"newdelete.NewDeletePlugin$CompareWithNullHandler", "equals", 92, 12, 3 297
"derefofnull.DerefPathSensPlugin$SuffDereferenceHandler", "annotate", 92, 5, 58 677
"std.LoopBoundPlugin$CriticalOpHandler", "apply", 92, 1, 123 982
"std.memory.ObjectHasBeenChangedPlugin$ObjectAccessHandler", "passedToUnknownFunc", 92, 9, 10 877
"DFA", "noException", 90, 3, 1 470
"overflow.pathsens.ValueComparedPlugin$ValueComparedCreator", "equals", 89, 8, 3 010
"attr ComparisonInterval", "join", 89, 14, 4 907
"math.DivisionByZeroPlugin$AddrPassedToFunc", "passedToFunc", 88, 7, 13 801
"std.LastCalledFuncInfoPlugin$PathOperationHandler", "in", 86, 25, 62 614
"grep.LightApiCheckerPlugin$AbstractCallHandler", "handleCall", 86, 21, 25 696
"tainted.TaintedPlugin$TaintedTransferHandler", "apply", 85, 20, 1 922
"std.sens.GlobalConditionPlugin$NotNullHandler", "NULL_ptrIsNotNull", 85, 16, 2 794
"overflow.BufferSizeFromSymbolPlugin$CopyOpSymbHandler", "copyNotify", 84, 2, 27 963
"grep.LightApiCheckerPlugin$BadKeyWordHandler", "pmove", 82, 5, 32 816
"attr FuncCallAttr", "join", 81, 14, 12 830
"std.OldPureFunctionPlugin$PurePropertyHandler", "apply", 81, 10, 123 982
"attr GlobalConditionConditions", "join", 79, 15, 3 093
"attr UsedValue", "join", 78, 9, 29 690
"junitassert.MissingJsonAssertPlugin$CallInstrHandler", "handleCall", 76, 8, 6 424
"math.DivisionByZeroPlugin$ZeroSetter", "newInt", 76, 2, 11 464
"DFA", "termination", 75, 2, 1 470
"attr PtrDereferenced", "join", 75, 6, 10 356
"tainted.StrlenDetectedPlugin$CallInstrHandler", "apply", 74, 13, 123 982
"derefofnull.DerefOfNullPathSensPlugin$DerefIfNullCreator", "equals", 74, 9, 2 743
"DFA", "unrechable3", 73, 22, 1 470
"DFA", "name", 72, 5, 1 470
"c.signals.SignalHandlersPlugin$TerminateChecker", "functionEnd", 70, 5, 1 458
"overflow.BufferSizePlugin$ConstantArrayHandler", "newString", 69, 12, 3 840
"concurrency.core.DeadlockJavaPlugin$AnnotApplyHandler", "annotationApply", 68, 6, 5 732
"std.UnreachablePlugin$UnreachableCodeHandler", "in", 68, 7, 62 614
"std.value.SoundValueIntervalPlugin$ValueProjectionHandler", "globalEquals", 67, 7, 2 666
"uninit.UninitHeapPlugin$CastObserverHandler", "copyNotify", 66, 7, 27 963
"math.DivisionByZeroPlugin$CondChecker", "equals", 66, 10, 2 556
"std.BooleanInvariantPlugin$EqualsProjectionHandler", "globalEquals", 66, 20, 2 671
"returnvalue.ReturnValueNoCheckPlugin$FuncCallHandler", "funcRetCall", 64, 4, 5 527
"NullPointerDereferencePlugin2", "sens", 64, 10, 707
"DFA", "unreachable4", 63, 9, 1 470
