plugin, operation, time (ms), max (ms), num
"uninit.UsePlugin$UseCondHandler", "smaller", 11, 9, 268
"std.memory.MemoryModelPlugin$PointsToProjectionHandler", "equals", 11, 0, 3 297
"newdelete.NewDeletePlugin$ExceptionPathOfCreatingHandler", "exceptionalPathForFuncRes", 10, 0, 610
"tainted.loop.InfiniteLoopStringPlugin$TerminatorCheckHandler", "notEquals", 10, 0, 3 717
"attr PureStateFlag", "join", 10, 8, 1 599
"std.DependsFromParameterPlugin$ParametrValueIdCreator", "derefExplicitly", 10, 1, 7 002
"overflow.BufferSizePlugin$CopyOpHandler", "apply", 10, 2, 3 120
"tainted.sensitive.SensitiveLeakPlugin$SerializableJavaClassHandler", "compositeAssignment", 10, 1, 461
"tainted.TaintedPlugin$AccessChainParametr", "annotate", 10, 3, 2 593
"std.memory.LinkedListStatePlugin$SelfAssignmentHandler", "pmove", 10, 0, 8 204
"cpp.MemoryLeakCCtorPlugin$HeapStatCollector", "passedToUnknownFunc", 10, 0, 10 877
"attr PtrIsNull", "join", 10, 0, 2 671
"std.PCallPlugin$CopyHandler", "pmove", 10, 1, 8 204
"attr TypeOfRetValueAttribute", "join", 10, 3, 6 825
"attr IteratorCandidates", "join", 10, 3, 22 113
"std.PassedToUnknowFunctionPlugin$UnknownHandler", "passedToUnknownFunc", 10, 0, 10 877
"std.memory.ReadAccessPlugin$TypeOfRetValueHandler", "apply", 9, 0, 4 648
"checkers.VulnerableFunUsePlugin$WarnFirer", "functionEnd", 9, 2, 1 458
"cpp.UseAfterMovePlugin$ReturnMovedHandler", "functionEnd", 9, 1, 1 458
"concurrency.NoCheckInLockPlugin$Checker", "compositeAssignment", 9, 0, 1 510
"leaks.HandleLeakPlugin$AssignHandler", "pmove", 9, 0, 8 204
"tainted.TaintedPlugin$TaintedPtrToTaintedIntHandler", "passedToFuncAfterApply", 9, 4, 11 997
"attr TransferTaintnessAttr", "join", 9, 0, 6 169
"std.sens.FistIterConditionPlugin$NextIterHandler", "sccEnd", 9, 9, 1 232
"std.ConstantDependensPlugin$Setter", "newInt", 9, 0, 11 464
"tainted.sensitive.SensitiveLeakPlugin$SensitiveStringGoHandler", "functionStart", 9, 0, 1 470
"attr PtrCantBeNull", "join", 9, 3, 3 234
"overflow.pathsens.ValueSummaryPlugin$ArithmOpHandler", "add", 9, 4, 285
"attr ValuePassedToUnknownFunc", "join", 9, 2, 25 626
"derefofnull.NullPointerDereferencePlugin$BackwardNullHandler", "meetBack", 9, 1, 1 522
"std.value.SymbolIntervalPlugin$SymbolicIntervalProjHandler", "notSmaller", 9, 2, 411
"attr Origin!location", "join", 8, 4, 3 095
"std.value.IntegerIntervalPlugin$ArithOpHandler", "add", 8, 0, 283
"tainted.TaintedPlugin$TaintedClearHandler", "apply", 8, 8, 2
"c.signals.AsyncUnsafeFunctions$AsyncUnsafeChecker", "functionStart", 8, 2, 1 470
"std.type.StringConstantPlugin$ConstantCatchHandler", "newString", 8, 0, 1 920
"junitassert.NoAssertInTestPlugin$NoAssertChecker", "functionStart", 8, 0, 1 470
"overflow.pathsens.StringLengthPathSensPlugin$StringEventPropagator", "apply", 8, 1, 331
"concurrency.NoUnlockPlugin$NoUnlockFirer", "functionEnd", 8, 0, 1 458
"std.memory.ReadAccessPlugin$TypeOfRetValueHandler", "returnFromCurProc", 8, 0, 974
"cpp.MemoryLeakCCtorPlugin$HeapStatCollector", "addrPassedToUnknownFunc", 8, 0, 10 684
"junitassert.MissingFieldAssertPlugin$AnnotHandlerWithOutTrace", "apply", 8, 0, 6 888
"negative.NegativeErrorPlugin$LocalMustNegativeFlagSetter", "newInt", 8, 1, 11 464
"attr ComparedWithConstFlag", "join", 8, 0, 5 831
"tainted.loop.InfiniteLoopArrayIndexPlugin$OverflowHandler", "add", 7, 3, 285
"overflow.pathsens.OverflowConditionPlugin$CallerControlLoopHandler", "globalEquals", 7, 3, 2 953
"std.PassedToUnknowFunctionPlugin$UnknownHandler", "addrPassedToUnknownFunc", 7, 2, 10 684
"newdelete.FreeOfNonHeapMemoryPlugin$ConstantCatchHandler", "newInt", 7, 0, 11 464
"std.OldPureFunctionPlugin$PurePropertyHandler", "compositeAssignment", 7, 0, 1 510
"intoverflow.IntOverflowUnderCheckPlugin$BoundAttrSetterFromComparison", "smaller", 7, 3, 268
"attr ComparedFlag", "join", 7, 0, 21 079
"intoverflow.IntOverflowUnderCheckPlugin$ExcluderOnCheck", "notEquals", 7, 0, 6 152
"attr BackwardPtrDereferenced", "join", 7, 3, 2 230
"attr DependedSymbols", "join", 7, 0, 1 298
"overflow.DynamicOverflowPlugin$DynamicOverflowChecker", "bufferAccess", 7, 1, 213
"std.LoopBoundPlugin$BoundCheckHandler", "smaller", 7, 4, 268
"junitassert.NoAssertInTestPlugin$AnnotHandler", "apply", 7, 0, 5 729
"leaks.EscapePlugin$EscapeValueHandler", "passedToFunc", 7, 0, 13 801
"attr ComparedWithNull", "join", 7, 0, 9 751
"std.memory.LinkedListStatePlugin$SelfAssignmentHandler", "compositeAssignment", 7, 1, 1 510
"overflow.GoArrayLenAfterAccessPlugin$CompareLenHandler", "equals", 7, 2, 3 297
"attr AssignsAttr", "join", 7, 0, 5 921
"attr NullSetDerivedByCompare", "join", 7, 6, 382
"overflow.pathsens.ValueComparedPlugin$ValueComparedCreator", "notGreater", 6, 0, 316
"ru.isp.svace.sens.strlen.StrLenValuePlugin$StrLenPropagator", "apply", 6, 0, 357
"uninit.UsePlugin$ApplyAnnotateHandler", "annotate", 6, 0, 5 419
"intoverflow.ArithmeticOperationViewerPlugin$OperationEventHandler", "apply", 6, 3, 189
"intoverflow.IntOverflowPlugin$CastHandler", "castNotify", 6, 0, 776
"std.value.SymbolIntervalPlugin$SymbolicIntervalProjHandler", "equals", 6, 0, 3 297
"attr FieldAccessAttr", "join", 6, 0, 5 075
"attr DependsOnIterator", "join", 6, 0, 1 298
"negative.NegativeErrorPlugin$MaybeCheckedCreateProjectionHandler", "equals", 6, 0, 3 297
"tainted.TaintedIntegerOverflowPlugin$IntOverflowFirer", "apply", 6, 2, 189
"ru.isp.svace.sens.strlen.StrlenConditionPlugin$1", "annotate", 6, 1, 14
"intoverflow.IntOverflowUnderCheckPlugin$ResultCastChecker", "castNotify", 6, 2, 776
"attr DoubtfulValueAttr", "join", 6, 0, 5 138
"attr PtrAccessInterval", "join", 6, 0, 1 979
"std.StandardHandlers$AnnotateHandler", "annotate", 6, 1, 6 366
"intoverflow.InevitableIntOverflowPlugin$InevitableIntOverflowHandler", "add", 6, 0, 283
"std.FieldInfoForStaticVariablesPlugin$ReadWriteHandler", "apply", 6, 0, 2 146
"std.value.SymbolIntervalPlugin$SymbolicIntervalProjHandler", "smaller", 6, 3, 268
"derefofnull.NullPointerDereferencePlugin$ThisIsNotNullSetter", "functionStart", 6, 1, 1 470
"std.LastMethodCallInfoPlugin$Handler", "handleMethodCall", 6, 0, 987
"math.DivisionByZeroPlugin$CondChecker", "notEquals", 6, 0, 2 990
"overflow.NonterminatedStringPlugin$NullTerminationByComparisonHandler", "equals", 6, 0, 2 600
"exception.UncaughtExceptionsPlugin$JVMInstanceOfHandler", "trueCond", 6, 0, 471
"overflow.OverflowAfterCheckVarPlugin$OverflowAfterCheckChecker", "bufferAccess", 6, 0, 561
"attr ObjectReturnFromFuncFlag", "join", 6, 2, 7 798
"attr EquationMapAttr", "join", 6, 0, 686
"tainted.loop.SccIteratorPlugin$DependsOnInitiateHandler", "add", 6, 0, 285
"negative.NegativeErrorPlugin$MustBeUnsignedIntCreator", "annotatePar", 6, 0, 3 260
"intoverflow.IntOverflowUnderCheckPlugin$BoundAttrSetterFromComparison", "notSmaller", 6, 0, 411
"derefofnull.PtrNullObserverPlugin$PtrIsSetToNullPropagator", "annotate", 6, 0, 890
"std.value.IntegerIntervalPlugin$ValueProjectionHandler", "smaller", 6, 0, 263
"tainted.loop.InfiniteLoopStringPlugin$UsedInLoopConditionHandler", "equals", 5, 0, 3 297
"leaks.NonVirtualDtorLeakPlugin$LeakHandler", "compositeAssignment", 5, 0, 1 510
"tainted.TaintedInfiniteLoopExPlugin$TaintnessPropagator", "add", 5, 0, 285
"tainted.TaintedPlugin$ResOfStrlenIsCheckedSanitazer", "notEquals", 5, 0, 3 717
"uninit.InitByOtherTheadPlugin$PmoveToGlobalHandler", "pmove", 5, 0, 8 204
"std.PureFunctionPlugin$PureFunctionHandler", "apply", 5, 0, 203
"std.value.IntegerIntervalPlugin$CopyHandler", "castNotify", 5, 2, 776
"c.signals.SignalHandlersPlugin$TerminateChecker", "functionStart", 5, 2, 1 470
"negative.NegativeErrorPlugin$MaybeCheckedUseHandler", "apply", 5, 0, 3 605
"attr OriginalVariableName", "join", 5, 0, 6 299
"leaks.NonVirtualDtorLeakPlugin$LeakHandler", "functionEnd", 5, 0, 1 458
"std.OldPureFunctionPlugin$PurePropertyHandler", "functionStart", 5, 1, 1 470
"overflow.GoArrayLenAfterAccessPlugin$CompareLenHandler", "notEquals", 5, 0, 3 717
"std.sens.GlobalConditionPlugin$FuncReturnGoErrorHandler", "funcRetCall", 5, 0, 5 527
"attr SignOfArithmeticOperation", "join", 5, 0, 2 815
"std.memory.ReadAccessPlugin$DerefPathHandler", "compositeAssignment", 5, 2, 146
"concurrency.NoLockStatPlugin$ReadWriteHandler", "pmove", 5, 0, 8 204
"std.OccurredPlugin$ExceptionHandler", "exceptionalPathForFuncRes", 5, 3, 610
"tainted.TaintedPlugin$ResOfStrlenIsCheckedSanitazer", "equals", 5, 0, 3 297
"attr PassedToUnknownFunc", "join", 5, 1, 11 674
"attr ThisAccessStepsComparedWithoutLock", "join", 5, 0, 1 039
"overflow.NonterminatedStringPlugin$NullTerminationByAssignmentHandler", "pmove", 5, 0, 798
"negative.NegativePathSensPlugin$NegativePropagator", "annotate", 5, 0, 29
"std.value.IntegerIntervalPlugin$ValueProjectionHandler", "notSmaller", 5, 0, 405
"tainted.TaintedArrayIndexPlugin$HeapArrayAllocateHandler", "heapArrayAllocate", 5, 1, 147
"attr SameTypeAssignment", "join", 5, 3, 825
"overflow.OverflowUnderCheckPlugin$OverflowPredictedSizeHandler", "bufferAccess", 5, 1, 561
"newdelete.DanglingPointerStatPlugin$Checker", "functionEnd", 5, 0, 2 916
"std.StandardHandlers$ApplyCopyHandler", "apply", 5, 0, 3 032
"negative.NegativeErrorPlugin$NegativeIfVarIsUnknownCreator", "annotate", 4, 1, 29
"math.DivisionByZeroUnderCheckPlugin$CompareHandler", "notSmaller", 4, 4, 411
"attr PointedHeapBufferSizeAttr", "join", 4, 2, 764
"attr IteratorStepAttr", "join", 4, 0, 2 336
"overflow.pathsens.ValueComparedPlugin$ValueComparedCreator", "greater", 4, 0, 257
"junitassert.MissingFieldAssertPlugin$AnnotHandler", "apply", 4, 0, 1 586
"negative.PassToProcAfterCheckPlugin$ComparedToNegativeSetter", "equals", 4, 0, 2 743
"tainted.loop.SccIteratorPlugin$TrueIteratorHandler", "castNotify", 4, 0, 776
"attr IntraEscapeValue", "join", 4, 0, 1 703
"overflow.DynamicOverflowPlugin$BufferSizeIntervalCreator", "apply", 4, 0, 237
"tainted.TaintedInfiniteLoopExPlugin$IteratorChangeHandler", "add", 4, 0, 285
"std.value.IntegerIntervalPlugin$ValueProjectionHandler", "notGreater", 4, 0, 406
"derefofnull.DerefOfNullRetSensPlugin$NullRetIfCondSetter", "retBranch", 4, 0, 184
"newdelete.NewDeletePlugin$ApplyAnnotateHandler", "annotate", 4, 0, 6 221
"attr SameCallsAttr", "join", 4, 0, 1 194
"leaks.AllocCompareResultPlugin$AllocCompareFlagApplyHandler", "apply", 4, 0, 1 211
"std.memory.ReadAccessPlugin$DerefPathHandler", "annotate", 4, 1, 1 762
"std.LoopBoundPlugin$IncrementHandler", "add", 4, 0, 285
"std.value.IntegerIntervalPlugin$CopyHandler", "functionStart", 4, 0, 1 470
"leaks.EscapePlugin$ApplyHandler", "shiftInApply", 4, 0, 3 761
"attr ElemAccessAttr", "join", 4, 0, 3 762
"c.signals.SignalSelfPlugin$SigHandler1stArgSetter", "functionStart", 4, 0, 1 470
"attr ResultOfSmallFunction", "join", 4, 2, 8 598
"std.OccurredPlugin$RetInstrHandler", "retBranch", 4, 0, 2 002
"overflow.pathsens.ValueComparedPlugin$ArithOpHandler", "add", 4, 1, 285
"std.value.IntegerShiftPlugin$ArithOpHandler", "add", 4, 0, 285
"go.UncheckedFuncResTuplePlugin$CallHandler", "funcRetCall", 4, 0, 5 527
"tainted.StrlenDetectedPlugin$CallInstrHandler", "funcRetCall", 4, 1, 5 527
"overflow.pathsens.HeapBufferSizePlugin$HeapBufferSizePropagator", "annotate", 4, 2, 17
"derefofnull.NullAfterDerefPlugin$CreatedInProcDereferencedHandler", "annotate", 4, 0, 2 047
"attr IsCallResult", "join", 4, 0, 15 127
"derefofnull.PtrNullObserverPlugin$ConstantStringHandler", "newString", 4, 2, 1 920
"leaks.EscapePlugin$ApplyHandler", "derefInApply", 4, 0, 3 941
"intoverflow.ArithmeticOperationViewerPlugin$OperationEventSetter", "add", 4, 0, 285
"uninit.UsePlugin$UseCondHandler", "greater", 4, 2, 264
"intoverflow.ArithmeticOperationViewerPlugin$OperationEventHandler", "pmove", 4, 0, 254
"tainted.TaintedPlugin$TaintPropagator", "functionStart", 3, 0, 1 470
"tainted.sensitive.SensitiveLeakPlugin$ExceptionHandler", "javaNew", 3, 0, 1 146
"std.FuncRetCodePlugin$GoErrorCheckHandler", "retBranch", 3, 0, 2 002
"std.value.SymbolIntervalPlugin$SymbolicIntervalProjHandler", "greater", 3, 0, 264
"overflow.BufferSizePlugin$CopyOpHandler", "globalVar", 3, 0, 1 046
"attr DependsFromParametrFlag", "join", 3, 0, 3 767
"newdelete.FreeOfNonHeapMemoryPlugin$ConstantCatchHandler", "newString", 3, 0, 1 920
"attr TypeComparisonInterval", "join", 3, 0, 178
"overflow.BeliefBufferOverflowPlugin$AvoidFlagSetter", "equals", 3, 0, 3 297
"returnvalue.UncheckedFuncResPlugin$FunctionResCheckPathHandler", "retBranch", 3, 0, 2 002
"std.value.IntegerIntervalPlugin$ValueProjectionHandler", "greater", 3, 0, 259
"std.value.SymbolIntervalPlugin$CopyHandler", "copyNotify", 3, 0, 790
"overflow.BeliefBufferOverflowPlugin$AvoidFlagSetter", "notEquals", 3, 0, 3 717
"attr NullRetIfCondStat", "join", 3, 0, 4 995
"attr OperationEvent", "join", 3, 0, 2 652
"std.LoopBoundPlugin$BoundCheckHandler", "greater", 3, 0, 264
"std.value.IntegerIntervalPlugin$CopyHandler", "annotateRet", 3, 0, 969
"uninit.UsePlugin$UseCondHandler", "trueCond", 3, 0, 471
"junitassert.NoAssertInTestPlugin$AnnotHandler", "annotate", 3, 2, 1 411
"c.ReturnLocalVarPlugin$ReturnLocalVarFire", "returnFromCurProc", 3, 0, 974
"overflow.GoArrayLenAfterAccessPlugin$AccessHandler", "apply", 3, 0, 648
"attr PtrIsNotNull", "join", 3, 0, 6 339
"std.StandardHandlers$SourceFlagCopyHandler", "annotate", 3, 0, 4 918
"math.DivisionByZeroPlugin$DivizionByZeroChecker2", "add", 3, 0, 285
"attr AllocCompareFlag", "join", 3, 0, 5 223
"attr DependsFromConstant", "join", 3, 0, 7 959
"intoverflow.CastInsufficientCheck$CastHandler", "castNotify", 3, 0, 776
"std.StandardHandlers$AssignTraceHandler", "pmove", 3, 0, 798
"c.ForkBombPlugin$ForkBranchHandler", "notSmaller", 3, 1, 411
"cpp.MemoryLeakCCtorPlugin$HeapStatCollector", "compositeAssignment", 3, 0, 1 510
"attr StringElemPtrAttr", "join", 2, 0, 2 259
"math.DivisionByZeroPlugin$CastHandler", "castNotify", 2, 0, 106
"std.sens.FistIterConditionPlugin$ArithmHandler", "add", 2, 0, 285
"exception.UncaughtExceptionsPlugin$CommonCallHandler", "normalPathForFuncRes", 2, 0, 530
"std.FuncRetCodePlugin$GoErrorReturnHandler", "functionEnd", 2, 0, 1 458
"uninit.ArrayElementsPlugin$CompositeAssignmentHandler", "compositeAssignment", 2, 0, 1 510
"attr ResultLowerBoundAttr", "join", 2, 1, 1 698
"overflow.BufferOverflowStrictPlugin$BoundIsCheckedCreatorDependsAttr", "equals", 2, 0, 578
"attr PT-TO", "join", 2, 0, 24 057
"intoverflow.IntOverflowUnderBitMask$BitSizeCreator", "add", 2, 0, 285
"std.memory.ObjectHasBeenChangedPlugin$ObjectAccessHandler", "annotate", 2, 0, 785
"math.DivisionByZeroPlugin$DivizionByZeroChecker2", "interProcAdd", 2, 2, 5
"attr SoundValueSetBoundBooleanAttr", "join", 2, 0, 9 874
"junitassert.MissingFieldAssertPlugin$AnnotHandlerWithOutTrace", "annotate", 2, 1, 1 182
"derefofnull.NullPointerDereferencePlugin$NullDerefCopyHandler", "meetBack", 2, 0, 1 522
"tainted.TaintedInfiniteLoopExPlugin$IteratorTaintnessHandler", "add", 2, 0, 285
"attr StringLengthAttr", "join", 2, 0, 196
"attr PtrDoNotSpreadDereference", "join", 2, 0, 1 189
"std.PassedToUnknowFunctionPlugin$UnknownHandler", "mayBeChanged", 2, 0, 3 541
"overflow.BeliefBufferOverflowPlugin$BufferCopyHandler", "bufferAccess", 2, 0, 561
"negative.NegativeErrorPlugin$CantBeNegativeHandler", "greater", 2, 0, 1 036
"tainted.TaintedPlugin$ResOfStrlenIsCheckedSanitazer", "notSmaller", 2, 1, 411
"tainted.loop.InfiniteLoopOverflowPlugin$OverlowHandler", "add", 2, 0, 285
"std.LoopBoundPlugin$BoundCheckHandler", "notGreater", 2, 0, 412
"exception.UncaughtExceptionsPlugin$JVMInstanceOfHandler", "falseCond", 2, 1, 42
"derefofnull.DerefOfNullPathSensPlugin$CompareWithNullHandler", "greater", 2, 1, 777
"tainted.TaintedInfiniteLoopExPlugin$TaintsInsideLoopHandler", "add", 2, 0, 285
"tainted.loop.SccIteratorPlugin$Cleaner", "nextIteration", 2, 0, 439
"std.StandardHandlers$AnnotApplyHandler", "annotate", 2, 2, 5
"std.BooleanInvariantPlugin$EqualsProjectionHandler", "globalNotGreater", 2, 0, 201
"std.memory.ReadAccessPlugin$TypeOfRetValueHandler", "annotate", 2, 0, 938
"overflow.DynamicOverflowPlugin$DynamicOverflowChecker", "deref", 2, 0, 255
"std.UncontroledValuePlugin$CompareHandler", "trueCond", 2, 0, 265
"overflow.NullTerminationPlugin$NewStringHandler", "newString", 2, 0, 1 920
"c.ForkBombPlugin$ForkBranchHandler", "greater", 2, 0, 264
"std.LoopBoundPlugin$BoundCheckHandler", "notSmaller", 2, 0, 411
"std.sens.GlobalConditionPlugin$SCCIteratorHandler", "nextIteration", 2, 0, 439
"overflow.StrCmpPlugin$StrCmpHandler", "notEquals", 1, 0, 3 717
"overflow.DynamicOverflowPlugin$BufferSizeIntervalCreator", "heapArrayAllocate", 1, 0, 147
"tainted.loop.InfiniteLoopStringPlugin$IteratorCopyOpHandler", "pmove", 1, 0, 224
"attr ResultUpperBoundAttr", "join", 1, 0, 1 699
"attr CheckedForNullAttr", "join", 1, 0, 3 856
"std.memory.HeapModelPlugin$BadAllocHandler", "trueCond", 1, 0, 471
"concurrency.NoCheckInLockPlugin$StaticVariablesCompareHandler", "trueCond", 1, 0, 471
"newdelete.FreeOfNonHeapMemoryPlugin$PointsToProjectionHandler", "notEquals", 1, 0, 383
"attr NegativeIfCond", "join", 1, 0, 251
"intoverflow.TruncationAtConditionPlugin$TruncCreator", "castNotify", 1, 0, 776
"overflow.OverflowUnderCheckPlugin$BufferPredictingSizeHandler", "bufferAccess", 1, 0, 215
"c.ForkBombPlugin$ForkBranchHandler", "notGreater", 1, 0, 412
"attr HasUnsignedUsage", "join", 1, 0, 4 734
"overflow.pathsens.ValueComparedPlugin$1", "apply", 1, 0, 71
"leaks.EscapePlugin$IntraEscapeValueHandler", "compositeAssignment", 1, 0, 1 510
"uninit.UsePlugin$UseCondHandler", "notSmaller", 1, 0, 411
"leaks.EscapePlugin$CompositeAccessHandler", "compositeAccess", 1, 0, 464
"std.DependsFromParameterPlugin$ParametrValueIdCreator", "passedToUnknownFunc", 1, 0, 776
"math.DivisionByZeroPlugin$DivizionByZeroChecker2", "interProcMul", 1, 1, 4
"attr LastMethodCallInfo", "join", 1, 0, 1 250
"tainted.StrlenDetectedPlugin$CallInstrHandler", "passedToFuncAfterApply", 1, 0, 11 997
"std.BooleanInvariantPlugin$EqualsProjectionHandler", "globalGreater", 1, 0, 185
"attr UpperBoundCheckAttr", "join", 1, 0, 1 500
"tainted.TrustedIntPlugin$ApplyAnnotHandler", "apply", 1, 0, 81
"std.sens.FistIterConditionPlugin$NextIterHandler", "nextIteration", 1, 0, 439
"std.FieldInfoForStaticVariablesPlugin$ReadWriteHandler", "annotate", 1, 0, 924
"attr ComparedToNegativeIfCond", "join", 1, 0, 187
"overflow.GoArrayLenAfterAccessPlugin$AccessHandler", "bufferAccess", 1, 0, 561
"attr ArrayAccessAttr", "join", 1, 0, 1 660
"overflow.OverflowUnderCheckPlugin$BufferAccessHandler", "bufferAccess", 1, 0, 94
"intoverflow.IntOverflowUnderCheckPlugin$CastHandler", "castNotify", 1, 0, 198
"ru.isp.svace.sens.strlen.StrlenConditionPlugin$1", "apply", 1, 0, 130
"overflow.pathsens.TaintedOverflowPlugin$ArithOpHandler", "add", 1, 0, 285
"attr ReachableCode", "join", 1, 0, 3 100
"std.value.IntervalHandlers$AnnotateApplyHandler", "annotate", 1, 0, 1 579
"derefofnull.DerefOfNullPathSensPlugin$CompareWithNullHandler", "notSmaller", 1, 0, 1 215
"std.DependsFromParameterPlugin$ComparisonPropagator", "equals", 1, 0, 549
"tainted.TaintedArrayIndexPlugin$TrustedSinkFlagHandler", "bufferAccess", 1, 0, 561
"attr TrustedIntSinkFlag", "join", 1, 0, 685
"std.sens.RSizeMaxFactsPlugin$AddConstToUnsignedHandler", "add", 1, 0, 285
"intoverflow.IntOverflowUnderBitMask$TruncChecker", "castNotify", 1, 0, 776
"math.DivisionByZeroPlugin$CondChecker", "notGreater", 1, 0, 199
"attr PointedObjectSizeAttr", "join", 1, 0, 1 309
"attr StringConditionType", "join", 1, 0, 63
"intoverflow.TruncationAtConditionPlugin$ComparisonChecker", "notGreater", 1, 0, 412
"newdelete.FreeOfNonHeapMemoryPlugin$PointsToProjectionHandler", "equals", 1, 0, 368
"tainted.loop.InfiniteLoopStringPlugin$UsedInLoopConditionHandler", "greater", 1, 0, 264
"cpp.UseAfterMovePlugin$ThisFlagsHandler", "apply", 1, 0, 228
"overflow.OverflowUnderCheckPlugin$ArithOpHandler", "add", 1, 0, 74
"tainted.TaintedPlugin$AccessChainParametr", "apply", 1, 0, 1 841
"std.DependsFromParameterPlugin$ComparisonPropagator", "notEquals", 1, 0, 568
"uninit.UsePlugin$UseCondHandler", "notGreater", 1, 0, 412
"overflow.pathsens.OverflowConditionPlugin$CallerControlLoopHandler", "globalNotGreater", 1, 0, 456
"negative.PassToProcAfterCheckPlugin$ComparedToNegativeSetter", "smaller", 1, 0, 263
"attr NoChdirFlag", "join", 1, 0, 2 850
"uninit.UsePlugin$UseIntegerOpHandler", "add", 1, 0, 285
"negative.NegativeErrorPlugin$MaybeCheckedCreateProjectionHandler", "notGreater", 1, 0, 412
"std.FuncRetCodePlugin$GoErrorReturnHandler", "functionStart", 1, 0, 1 470
"attr ResultOfUnknownFunction", "join", 1, 0, 3 149
"negative.NegativePathSensPlugin$NegativePropagator", "apply", 1, 0, 36
"tainted.loop.InfiniteLoopStringPlugin$UsedInLoopConditionHandler", "smaller", 1, 0, 268
"attr TrivialIteratorFlag", "join", 1, 0, 2 424
"tainted.TaintedPlugin$TaintedTransfer", "TAINTED_transferTainted", 1, 0, 28
"leaks.AllocCompareResultPlugin$AllocFailIfComparedHandler", "notEquals", 1, 0, 131
"negative.NegativeErrorPlugin$DenomWithNegativeArgHandler", "bufferAccess", 1, 0, 561
"math.DivisionByZeroUnderCheckPlugin$CompareHandler", "notGreater", 1, 0, 412
"attr LastReturnedValue", "join", 1, 0, 511
"attr ResOfNewOp", "join", 1, 0, 2 796
"intoverflow.TruncationAtConditionPlugin$ComparisonChecker", "notSmaller", 1, 0, 411
"overflow.BufferOverflowStrictPlugin$IntegerHandler", "add", 1, 0, 285
"overflow.pathsens.ValueComparedPlugin$ValueComparedCreator", "notSmaller", 1, 0, 313
"attr TrustedValueInterval", "join", 1, 0, 872
"derefofnull.DerefOfNullPathSensPlugin$CompareWithNullHandler", "smaller", 1, 0, 789
"std.StandardHandlers$ValueIdParameterTypeApplyAnnotHandler2", "apply", 1, 0, 237
"overflow.BufferSizePlugin$CopyOpHandler", "annotate", 1, 0, 1 345
"concurrency.LockFunctionPlugin$UnLockCopyHandler", "apply", 1, 0, 415
"leaks.AllocCompareResultPlugin$AllocFailIfComparedHandler", "equals", 1, 0, 124
"attr OuterContextValueAttr", "join", 1, 0, 583
"derefofnull.DerefOfNullPathSensPlugin$CompareWithNullHandler", "notGreater", 1, 0, 1 218
"std.type.UnsignedPlugin$UnsignedPropagator", "add", 1, 0, 285
"leaks.EscapePlugin$IntraEscapeValueHandler", "annotate", 0, 0, 492
"tainted.loop.InfiniteLoopStringPlugin$UsedInLoopConditionHandler", "notGreater", 0, 0, 412
"math.DivisionByZeroPlugin$CondChecker", "smaller", 0, 0, 124
"tainted.TrustedIntPlugin$HeapArrayAllocateHandler", "heapArrayAllocate", 0, 0, 147
"attr PointedBufferSizeAttr", "join", 0, 0, 1 471
"concurrency.NoCheckInLockPlugin$StaticVariablesCompareHandler", "notGreater", 0, 0, 412
"negative.NegativeErrorPlugin$MaybeCheckedCreateProjectionHandler", "notSmaller", 0, 0, 411
"tainted.TaintedIntegerOverflowPlugin$BufferAccessHandler", "bufferAccess", 0, 0, 561
"math.DivisionByZeroPlugin$DivizionByZeroChecker2", "binaryXor", 0, 0, 6
"math.DivisionByZeroPlugin$CondChecker", "notSmaller", 0, 0, 203
"attr Iterator", "join", 0, 0, 2 679
"returnvalue.UncheckedFuncResPlugin$FunctionResCheckIntegerHandler", "add", 0, 0, 285
"attr AccessStepParametr", "join", 0, 0, 515
"math.DivisionByZeroUnderCheckPlugin$CompareHandler", "greater", 0, 0, 264
"leaks.BackwardChecker$LeakCopyHandler", "combine", 0, 0, 1
"attr RetInstrOccurred", "join", 0, 0, 555
"attr TrustedIntIf", "join", 0, 0, 204
"intoverflow.TruncationAtConditionPlugin$ComparisonChecker", "greater", 0, 0, 264
"ru.isp.svace.sens.strlen.ParsedStringPlugin$CharComparisonHandler", "notEquals", 0, 0, 122
"overflow.OverflowUnderCheckPlugin$IndexParamHandler", "apply", 0, 0, 66
"attr BufferTrustedIntSinkFlag", "join", 0, 0, 246
"attr NoAssertInUnitTestFlag", "join", 0, 0, 3 089
"ru.isp.svace.sens.strlen.ParsedStringPlugin$CharComparisonHandler", "equals", 0, 0, 117
"tainted.loop.InfiniteLoopStringPlugin$UsedInLoopConditionHandler", "notSmaller", 0, 0, 411
"attr SuffDerefAttrIsSet", "join", 0, 0, 1 844
"overflow.pathsens.OverflowConditionPlugin$CallerControlLoopHandler", "globalGreater", 0, 0, 309
"tainted.TaintedPlugin$ResOfStrlenIsCheckedSanitazer", "notGreater", 0, 0, 412
"attr PtrWasAssigned", "join", 0, 0, 1 819
"math.DivisionByZeroPlugin$CondChecker", "greater", 0, 0, 115
"attr IntegerOverflowSanitizedFlag", "join", 0, 0, 679
"tainted.TaintedValueIntervalPlugin$ApplyAnnotHandler", "apply", 0, 0, 51
"std.memory.LinkedListStatePlugin$ListElemUnlinkHandler", "pmove", 0, 0, 275
"std.value.IntegerIntervalPlugin$InterProcArithOpHandler", "interProcAdd", 0, 0, 4
