function, , time (ms), max (ms), num
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.getField:()Lcom/fasterxml/jackson/databind/introspect/AnnotatedField;", "all", 16, 11, 2
"com/fasterxml/jackson/databind/DeserializationConfig.introspectForCreation:(Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/BeanDescription;", "all", 16, 6, 3
"com/fasterxml/jackson/databind/introspect/AnnotatedParameter.getOwner:()Lcom/fasterxml/jackson/databind/introspect/AnnotatedWithParams;", "all", 16, 3, 10
"com/fasterxml/jackson/databind/introspect/BasicBeanDescription.getFactoryMethods:()Ljava/util/List;", "all", 16, 6, 3
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder._findExplicitNames:(Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;Ljava/util/Set;)Ljava/util/Set;", "all", 16, 4, 4
"com/fasterxml/jackson/databind/type/TypeBindings.create:(Ljava/lang/Class;Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/type/TypeBindings;", "all", 16, 12, 2
"com/fasterxml/jackson/databind/deser/BeanDeserializerBuilder.addBackReferenceProperty:(Ljava/lang/String;Lcom/fasterxml/jackson/databind/deser/SettableBeanProperty;)V", "all", 16, 12, 3
"java/util/HashMap.put:(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;", "all", 16, 1, 15
"com/fasterxml/jackson/databind/ObjectMapper$1.<init>:(Lcom/fasterxml/jackson/databind/ObjectMapper;)V", "all", 16, 16, 1
"java/lang/System.getProperty:(Ljava/lang/String;)Ljava/lang/String;", "all", 16, 16, 1
"com/fasterxml/jackson/databind/DeserializationContext.handlePrimaryContextualization:(Lcom/fasterxml/jackson/databind/JsonDeserializer;Lcom/fasterxml/jackson/databind/BeanProperty;Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 16, 3, 8
"com/houarizegai/calculator/ui/CalculatorUI.calculate:(DDC)D", "all", 16, 4, 7
"com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector._addGetterMethod:(Ljava/util/Map;Lcom/fasterxml/jackson/databind/introspect/AnnotatedMethod;Lcom/fasterxml/jackson/databind/AnnotationIntrospector;)V", "all", 16, 8, 2
"java/lang/reflect/Method.getModifiers:()I", "all", 16, 11, 6
"com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector.getAnySetterMethod:()Lcom/fasterxml/jackson/databind/introspect/AnnotatedMethod;", "all", 16, 16, 1
"com/fasterxml/jackson/databind/introspect/BasicBeanDescription.findBackReferences:()Ljava/util/List;", "all", 15, 15, 1
"com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector.getProperties:()Ljava/util/List;", "all", 15, 15, 1
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory.withValueInstantiators:(Lcom/fasterxml/jackson/databind/deser/ValueInstantiators;)Lcom/fasterxml/jackson/databind/deser/DeserializerFactory;", "all", 15, 15, 1
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder._trimByVisibility:(Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;)Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;", "all", 15, 4, 4
"com/fasterxml/jackson/databind/deser/DeserializerCache._createDeserializer:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/deser/DeserializerFactory;Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 15, 15, 2
"com/fasterxml/jackson/databind/cfg/MapperConfigBase.findMixInClassFor:(Ljava/lang/Class;)Ljava/lang/Class;", "all", 15, 12, 2
"com/fasterxml/jackson/databind/deser/DeserializerCache.findConverter:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/introspect/Annotated;)Lcom/fasterxml/jackson/databind/util/Converter;", "all", 15, 15, 2
"com/fasterxml/jackson/databind/introspect/MemberKey.<init>:(Ljava/lang/reflect/Method;)V", "all", 15, 2, 7
"com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector.getInjectables:()Ljava/util/Map;", "all", 15, 15, 1
"com/fasterxml/jackson/databind/introspect/AnnotatedClass.<init>:(Ljava/lang/Class;)V", "all", 15, 10, 2
"com/fasterxml/jackson/databind/introspect/VisibilityChecker$Std.withFieldVisibility:(Lcom/fasterxml/jackson/annotation/JsonAutoDetect$Visibility;)Lcom/fasterxml/jackson/databind/introspect/VisibilityChecker$Std;", "all", 15, 15, 1
"java/lang/Double.parseDouble:(Ljava/lang/String;)D", "all", 15, 6, 18
"com/fasterxml/jackson/databind/introspect/AnnotatedClassResolver.resolve:(Lcom/fasterxml/jackson/databind/cfg/MapperConfig;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/introspect/ClassIntrospector$MixInResolver;)Lcom/fasterxml/jackson/databind/introspect/AnnotatedClass;", "all", 15, 15, 1
"com/fasterxml/jackson/databind/type/TypeFactory._referenceType:(Ljava/lang/Class;Lcom/fasterxml/jackson/databind/type/TypeBindings;Lcom/fasterxml/jackson/databind/JavaType;[Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/JavaType;", "all", 15, 15, 1
"com/fasterxml/jackson/databind/deser/impl/CreatorCollector._computeDelegateType:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/introspect/AnnotatedWithParams;[Lcom/fasterxml/jackson/databind/deser/SettableBeanProperty;)Lcom/fasterxml/jackson/databind/JavaType;", "all", 15, 7, 4
"com/fasterxml/jackson/databind/deser/BeanDeserializerBuilder._fixAccess:(Ljava/util/Collection;)V", "all", 15, 10, 4
"com/fasterxml/jackson/databind/introspect/AnnotatedCreatorCollector.isIncludableConstructor:(Ljava/lang/reflect/Constructor;)Z", "all", 15, 14, 2
"com/fasterxml/jackson/databind/util/ClassUtil.getConstructors:(Ljava/lang/Class;)[Lcom/fasterxml/jackson/databind/util/ClassUtil$Ctor;", "all", 15, 8, 2
"com/fasterxml/jackson/databind/util/internal/PrivateMaxEntriesMap.afterWrite:(Ljava/lang/Runnable;)V", "all", 15, 7, 2
"java/util/Map.entrySet:()Ljava/util/Set;", "all", 15, 4, 10
"com/fasterxml/jackson/databind/ser/SerializerCache.<init>:()V", "all", 15, 15, 1
"com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector._addFields:(Ljava/util/Map;)V", "all", 15, 15, 1
"com/fasterxml/jackson/databind/introspect/BasicClassIntrospector.forCreation:(Lcom/fasterxml/jackson/databind/DeserializationConfig;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/introspect/ClassIntrospector$MixInResolver;)Lcom/fasterxml/jackson/databind/introspect/BasicBeanDescription;", "all", 15, 15, 1
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder._anyExplicitNamesWithoutIgnoral:(Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;)Z", "all", 15, 15, 1
"com/fasterxml/jackson/databind/cfg/SerializerFactoryConfig.<init>:([Lcom/fasterxml/jackson/databind/ser/Serializers;[Lcom/fasterxml/jackson/databind/ser/Serializers;[Lcom/fasterxml/jackson/databind/ser/BeanSerializerModifier;)V", "all", 15, 4, 4
"com/fasterxml/jackson/databind/util/ClassUtil.createInstance:(Ljava/lang/Class;Z)Ljava/lang/Object;", "all", 15, 1, 18
"com/fasterxml/jackson/databind/introspect/AnnotatedClass._creators:()Lcom/fasterxml/jackson/databind/introspect/AnnotatedClass$Creators;", "all", 15, 5, 3
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory._reportUnwrappedCreatorProperty:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/introspect/AnnotatedParameter;)V", "all", 15, 1, 12
"com/fasterxml/jackson/databind/type/SimpleType.<init>:(Ljava/lang/Class;Lcom/fasterxml/jackson/databind/type/TypeBindings;Lcom/fasterxml/jackson/databind/JavaType;[Lcom/fasterxml/jackson/databind/JavaType;)V", "all", 15, 15, 1
"com/fasterxml/jackson/databind/deser/BeanDeserializerModifier.modifyReferenceDeserializer:(Lcom/fasterxml/jackson/databind/DeserializationConfig;Lcom/fasterxml/jackson/databind/type/ReferenceType;Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/JsonDeserializer;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 15, 11, 2
"com/fasterxml/jackson/databind/type/ArrayType.construct:(Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/type/TypeBindings;)Lcom/fasterxml/jackson/databind/type/ArrayType;", "all", 14, 10, 2
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.addCtor:(Lcom/fasterxml/jackson/databind/introspect/AnnotatedParameter;Lcom/fasterxml/jackson/databind/PropertyName;ZZZ)V", "all", 14, 14, 1
"com/fasterxml/jackson/databind/deser/std/StdKeyDeserializer$StringFactoryKeyDeserializer.<init>:(Ljava/lang/reflect/Method;)V", "all", 14, 14, 1
"com/fasterxml/jackson/databind/introspect/AnnotatedClassResolver._addFromBundleIfNotPresent:(Lcom/fasterxml/jackson/databind/introspect/AnnotationCollector;Ljava/lang/annotation/Annotation;)Lcom/fasterxml/jackson/databind/introspect/AnnotationCollector;", "all", 14, 7, 4
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory._validateNamedPropertyParameter:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/deser/impl/CreatorCandidate;ILcom/fasterxml/jackson/databind/PropertyName;Lcom/fasterxml/jackson/annotation/JacksonInject$Value;)V", "all", 14, 7, 6
"com/fasterxml/jackson/databind/introspect/MethodGenericTypeResolver.pessimisticallyValidateBound:(Lcom/fasterxml/jackson/databind/introspect/TypeResolutionContext;Lcom/fasterxml/jackson/databind/JavaType;Ljava/lang/reflect/Type;)Z", "all", 14, 3, 6
"com/fasterxml/jackson/databind/introspect/BasicBeanDescription.findProperty:(Lcom/fasterxml/jackson/databind/PropertyName;)Lcom/fasterxml/jackson/databind/introspect/BeanPropertyDefinition;", "all", 14, 14, 1
"com/houarizegai/calculator/ui/CalculatorUI.<init>:()V", "all", 14, 14, 1
"com/fasterxml/jackson/databind/deser/BeanDeserializerBuilder._handleBadAccess:(Ljava/lang/IllegalArgumentException;)V", "all", 14, 4, 11
"com/fasterxml/jackson/databind/introspect/AnnotatedMethod.getParameterType:(I)Lcom/fasterxml/jackson/databind/JavaType;", "all", 14, 3, 7
"com/fasterxml/jackson/databind/introspect/AnnotatedClass.fields:()Ljava/lang/Iterable;", "all", 14, 11, 2
"com/fasterxml/jackson/databind/JavaType.isEnumType:()Z", "all", 14, 9, 5
"com/fasterxml/jackson/databind/introspect/AnnotatedConstructor.getParameterCount:()I", "all", 14, 1, 11
"com/fasterxml/jackson/databind/cfg/ConfigOverrides.findOverride:(Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/cfg/ConfigOverride;", "all", 14, 8, 3
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.<init>:(Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder;Lcom/fasterxml/jackson/databind/PropertyName;)V", "all", 14, 8, 2
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked.withValue:(Ljava/lang/Object;)Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;", "all", 14, 14, 1
"com/fasterxml/jackson/databind/ObjectMapper$1.addDeserializers:(Lcom/fasterxml/jackson/databind/deser/Deserializers;)V", "all", 14, 14, 1
"com/fasterxml/jackson/databind/introspect/AnnotatedFieldCollector._addFieldMixIns:(Ljava/lang/Class;Ljava/lang/Class;Ljava/util/Map;)V", "all", 14, 14, 1
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory._checkImplicitlyNamedConstructors:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/introspect/VisibilityChecker;Lcom/fasterxml/jackson/databind/AnnotationIntrospector;Lcom/fasterxml/jackson/databind/deser/impl/CreatorCollector;Ljava/util/List;)V", "all", 14, 12, 2
"java/util/Collections.emptyList:()Ljava/util/List;", "all", 14, 1, 16
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory._constructDefaultValueInstantiator:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/BeanDescription;)Lcom/fasterxml/jackson/databind/deser/ValueInstantiator;", "all", 14, 10, 4
"com/fasterxml/jackson/databind/deser/DeserializerCache._createAndCache2:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/deser/DeserializerFactory;Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 14, 13, 2
"com/fasterxml/jackson/databind/deser/impl/BeanPropertyMap.<init>:(Lcom/fasterxml/jackson/databind/deser/impl/BeanPropertyMap;Lcom/fasterxml/jackson/databind/deser/SettableBeanProperty;II)V", "all", 14, 14, 1
"com/fasterxml/jackson/databind/deser/DefaultDeserializationContext$Impl.<init>:(Lcom/fasterxml/jackson/databind/deser/DefaultDeserializationContext$Impl;Lcom/fasterxml/jackson/databind/deser/DeserializerFactory;)V", "all", 14, 14, 1
"com/fasterxml/jackson/databind/deser/impl/JavaUtilCollectionsDeserializers._findUtilCollectionsImmutableTypeName:(Ljava/lang/String;)Ljava/lang/String;", "all", 14, 12, 2
"com/fasterxml/jackson/databind/introspect/AnnotatedField.getName:()Ljava/lang/String;", "all", 14, 12, 2
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.getGetter:()Lcom/fasterxml/jackson/databind/introspect/AnnotatedMethod;", "all", 13, 8, 2
"com/fasterxml/jackson/databind/introspect/VisibilityChecker$Std.isCreatorVisible:(Lcom/fasterxml/jackson/databind/introspect/AnnotatedMember;)Z", "all", 13, 2, 8
"com/fasterxml/jackson/databind/deser/impl/CreatorCollector.addBigIntegerCreator:(Lcom/fasterxml/jackson/databind/introspect/AnnotatedWithParams;Z)V", "all", 13, 13, 1
"com/fasterxml/jackson/databind/introspect/AnnotatedCreatorCollector.collectAnnotations:(Ljava/lang/reflect/AnnotatedElement;Ljava/lang/reflect/AnnotatedElement;)Lcom/fasterxml/jackson/databind/introspect/AnnotationMap;", "all", 13, 10, 2
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory.constructEnumResolver:(Ljava/lang/Class;Lcom/fasterxml/jackson/databind/DeserializationConfig;Lcom/fasterxml/jackson/databind/introspect/AnnotatedMember;)Lcom/fasterxml/jackson/databind/util/EnumResolver;", "all", 13, 9, 2
"com/fasterxml/jackson/databind/introspect/BasicClassIntrospector.forClassAnnotations:(Lcom/fasterxml/jackson/databind/cfg/MapperConfig;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/introspect/ClassIntrospector$MixInResolver;)Lcom/fasterxml/jackson/databind/introspect/BasicBeanDescription;", "all", 13, 13, 1
"java/lang/Throwable.getCause:()Ljava/lang/Throwable;", "all", 13, 2, 9
"com/fasterxml/jackson/databind/deser/impl/BeanPropertyMap.assignIndexes:()Lcom/fasterxml/jackson/databind/deser/impl/BeanPropertyMap;", "all", 13, 11, 2
"com/fasterxml/jackson/databind/util/internal/PrivateMaxEntriesMap.<init>:(Lcom/fasterxml/jackson/databind/util/internal/PrivateMaxEntriesMap$Builder;Lcom/fasterxml/jackson/databind/util/internal/PrivateMaxEntriesMap$1;)V", "all", 13, 13, 1
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.hasGetter:()Z", "all", 13, 8, 4
"com/fasterxml/jackson/databind/util/IgnorePropertiesUtil.buildCheckerIfNeeded:(Ljava/util/Set;Ljava/util/Set;)Lcom/fasterxml/jackson/databind/util/IgnorePropertiesUtil$Checker;", "all", 13, 11, 2
"com/fasterxml/jackson/databind/type/TypeBindings.isEmpty:()Z", "all", 13, 6, 4
"com/fasterxml/jackson/databind/deser/std/MapDeserializer._isStdKeyDeser:(Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/KeyDeserializer;)Z", "all", 13, 13, 1
"com/fasterxml/jackson/databind/deser/DefaultDeserializationContext._unwrapAndDeserialize:(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/JsonDeserializer;Ljava/lang/Object;)Ljava/lang/Object;", "all", 13, 12, 2
"com/fasterxml/jackson/databind/util/ClassUtil$Ctor.getParamCount:()I", "all", 13, 3, 4
"com/fasterxml/jackson/databind/util/internal/PrivateMaxEntriesMap.readBufferIndex:(II)I", "all", 13, 8, 4
"com/fasterxml/jackson/databind/deser/impl/JavaUtilCollectionsDeserializers.findForCollection:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 13, 12, 2
"java/util/LinkedList.get:(I)Ljava/lang/Object;", "all", 13, 5, 7
"com/fasterxml/jackson/databind/ObjectMapper.readValue:(Ljava/io/File;Ljava/lang/Class;)Ljava/lang/Object;", "all", 12, 12, 2
"com/fasterxml/jackson/databind/util/ClassUtil.name:(Lcom/fasterxml/jackson/databind/PropertyName;)Ljava/lang/String;", "all", 12, 11, 2
"com/fasterxml/jackson/databind/util/internal/LinkedDeque.<init>:()V", "all", 12, 12, 1
"com/fasterxml/jackson/databind/introspect/AnnotatedMethod.getAnnotated:()Ljava/lang/reflect/Method;", "all", 12, 3, 6
"com/fasterxml/jackson/databind/deser/DeserializerCache.<init>:(I)V", "all", 12, 12, 1
"com/fasterxml/jackson/databind/util/LRUMap.put:(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;", "all", 12, 6, 2
"com/fasterxml/jackson/databind/deser/impl/CreatorCollector.addStringCreator:(Lcom/fasterxml/jackson/databind/introspect/AnnotatedWithParams;Z)V", "all", 12, 12, 1
"com/fasterxml/jackson/databind/deser/BeanDeserializerModifier.modifyArrayDeserializer:(Lcom/fasterxml/jackson/databind/DeserializationConfig;Lcom/fasterxml/jackson/databind/type/ArrayType;Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/JsonDeserializer;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 12, 11, 2
"com/fasterxml/jackson/databind/cfg/MapperConfigBase.getConfigOverride:(Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/cfg/ConfigOverride;", "all", 12, 5, 3
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory._addRecordConstructor:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/deser/BasicDeserializerFactory$CreatorCollectionState;Lcom/fasterxml/jackson/databind/introspect/AnnotatedConstructor;Ljava/util/List;)V", "all", 12, 12, 2
"com/fasterxml/jackson/databind/deser/DeserializerCache._hasCustomHandlers:(Lcom/fasterxml/jackson/databind/JavaType;)Z", "all", 12, 10, 2
"com/fasterxml/jackson/databind/introspect/AnnotatedMethod.<init>:(Lcom/fasterxml/jackson/databind/introspect/TypeResolutionContext;Ljava/lang/reflect/Method;Lcom/fasterxml/jackson/databind/introspect/AnnotationMap;[Lcom/fasterxml/jackson/databind/introspect/AnnotationMap;)V", "all", 12, 3, 4
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory._findCreatorsFromProperties:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/BeanDescription;)Ljava/util/Map;", "all", 12, 12, 2
"com/fasterxml/jackson/databind/cfg/MapperConfig.getTypeFactory:()Lcom/fasterxml/jackson/databind/type/TypeFactory;", "all", 12, 4, 5
"com/fasterxml/jackson/databind/JavaType.isTypeOrSuperTypeOf:(Ljava/lang/Class;)Z", "all", 12, 7, 3
"com/fasterxml/jackson/databind/BeanProperty$Std.<init>:(Lcom/fasterxml/jackson/databind/PropertyName;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/PropertyName;Lcom/fasterxml/jackson/databind/introspect/AnnotatedMember;Lcom/fasterxml/jackson/databind/PropertyMetadata;)V", "all", 12, 3, 5
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory.findPropertyContentTypeDeserializer:(Lcom/fasterxml/jackson/databind/DeserializationConfig;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/introspect/AnnotatedMember;)Lcom/fasterxml/jackson/databind/jsontype/TypeDeserializer;", "all", 12, 11, 2
"com/fasterxml/jackson/databind/introspect/MemberKey.getName:()Ljava/lang/String;", "all", 12, 8, 6
"com/fasterxml/jackson/databind/util/ClassUtil$Ctor.getConstructor:()Ljava/lang/reflect/Constructor;", "all", 12, 1, 9
"com/fasterxml/jackson/databind/JavaType.hashCode:()I", "all", 12, 2, 6
"java/lang/StringBuilder.append:(I)Ljava/lang/StringBuilder;", "all", 12, 2, 7
"com/fasterxml/jackson/databind/exc/InvalidDefinitionException.from:(Lcom/fasterxml/jackson/core/JsonParser;Ljava/lang/String;Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/introspect/BeanPropertyDefinition;)Lcom/fasterxml/jackson/databind/exc/InvalidDefinitionException;", "all", 12, 3, 4
"java/util/Map.containsKey:(Ljava/lang/Object;)Z", "all", 12, 11, 2
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.addField:(Lcom/fasterxml/jackson/databind/introspect/AnnotatedField;Lcom/fasterxml/jackson/databind/PropertyName;ZZZ)V", "all", 12, 6, 2
"com/fasterxml/jackson/databind/deser/DeserializerCache._createAndCacheValueDeserializer:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/deser/DeserializerFactory;Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 12, 11, 2
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory._checkIfCreatorPropertyBased:(Lcom/fasterxml/jackson/databind/AnnotationIntrospector;Lcom/fasterxml/jackson/databind/introspect/AnnotatedWithParams;Lcom/fasterxml/jackson/databind/introspect/BeanPropertyDefinition;)Z", "all", 12, 4, 4
"com/fasterxml/jackson/databind/cfg/MapperConfig.getClassIntrospector:()Lcom/fasterxml/jackson/databind/introspect/ClassIntrospector;", "all", 12, 8, 4
"com/fasterxml/jackson/databind/deser/SettableAnyProperty$MapFieldAnyProperty.<init>:(Lcom/fasterxml/jackson/databind/BeanProperty;Lcom/fasterxml/jackson/databind/introspect/AnnotatedMember;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/KeyDeserializer;Lcom/fasterxml/jackson/databind/JsonDeserializer;Lcom/fasterxml/jackson/databind/jsontype/TypeDeserializer;Lcom/fasterxml/jackson/databind/deser/ValueInstantiator;)V", "all", 12, 12, 1
"com/fasterxml/jackson/databind/deser/CreatorProperty.construct:(Lcom/fasterxml/jackson/databind/PropertyName;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/PropertyName;Lcom/fasterxml/jackson/databind/jsontype/TypeDeserializer;Lcom/fasterxml/jackson/databind/util/Annotations;Lcom/fasterxml/jackson/databind/introspect/AnnotatedParameter;ILcom/fasterxml/jackson/annotation/JacksonInject$Value;Lcom/fasterxml/jackson/databind/PropertyMetadata;)Lcom/fasterxml/jackson/databind/deser/CreatorProperty;", "all", 12, 12, 1
"com/fasterxml/jackson/databind/PropertyMetadata.hasIndex:()Z", "all", 12, 4, 3
"com/fasterxml/jackson/databind/deser/std/StdDelegatingDeserializer.<init>:(Lcom/fasterxml/jackson/databind/util/Converter;)V", "all", 12, 3, 5
"com/fasterxml/jackson/databind/type/TypeFactory._fromArrayType:(Lcom/fasterxml/jackson/databind/type/ClassStack;Ljava/lang/reflect/GenericArrayType;Lcom/fasterxml/jackson/databind/type/TypeBindings;)Lcom/fasterxml/jackson/databind/JavaType;", "all", 12, 12, 1
"sf_set_tainted", "all", 12, 12, 1
"com/fasterxml/jackson/databind/introspect/ConcreteBeanPropertyBase.<init>:(Lcom/fasterxml/jackson/databind/PropertyMetadata;)V", "all", 12, 8, 2
"com/fasterxml/jackson/databind/exc/MismatchedInputException.from:(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/JavaType;Ljava/lang/String;)Lcom/fasterxml/jackson/databind/exc/MismatchedInputException;", "all", 12, 7, 2
"java/util/ArrayList.<init>:()V", "all", 11, 1, 18
"com/fasterxml/jackson/databind/deser/AbstractDeserializer.constructForNonPOJO:(Lcom/fasterxml/jackson/databind/BeanDescription;)Lcom/fasterxml/jackson/databind/deser/AbstractDeserializer;", "all", 11, 5, 3
"com/fasterxml/jackson/databind/type/TypeBindings.size:()I", "all", 11, 5, 5
"com/fasterxml/jackson/databind/introspect/CollectorBase._ignorableAnnotation:(Ljava/lang/annotation/Annotation;)Z", "all", 11, 4, 4
"com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.<init>:(Ljava/lang/Class;)V", "all", 11, 2, 6
"com/fasterxml/jackson/databind/deser/std/JdkDeserializers.find:(Lcom/fasterxml/jackson/databind/DeserializationContext;Ljava/lang/Class;Ljava/lang/String;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 11, 11, 2
"com/fasterxml/jackson/databind/cfg/SerializerFactoryConfig.withAdditionalKeySerializers:(Lcom/fasterxml/jackson/databind/ser/Serializers;)Lcom/fasterxml/jackson/databind/cfg/SerializerFactoryConfig;", "all", 11, 11, 1
"com/fasterxml/jackson/databind/DeserializationFeature.getMask:()I", "all", 11, 8, 2
"com/fasterxml/jackson/databind/introspect/AnnotatedMethod.getRawReturnType:()Ljava/lang/Class;", "all", 11, 2, 8
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory.findPropertyTypeDeserializer:(Lcom/fasterxml/jackson/databind/DeserializationConfig;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/introspect/AnnotatedMember;)Lcom/fasterxml/jackson/databind/jsontype/TypeDeserializer;", "all", 11, 11, 2
"java/lang/Throwable.getMessage:()Ljava/lang/String;", "all", 11, 2, 11
"java/lang/Math.min:(II)I", "all", 11, 11, 2
"com/fasterxml/jackson/databind/util/EnumResolver._enumDefault:(Lcom/fasterxml/jackson/databind/AnnotationIntrospector;Ljava/lang/Class;)Ljava/lang/Enum;", "all", 11, 9, 2
"com/fasterxml/jackson/databind/introspect/VisibilityChecker$Std._defaultOrOverride:(Lcom/fasterxml/jackson/annotation/JsonAutoDetect$Visibility;Lcom/fasterxml/jackson/annotation/JsonAutoDetect$Visibility;)Lcom/fasterxml/jackson/annotation/JsonAutoDetect$Visibility;", "all", 11, 2, 5
"com/fasterxml/jackson/databind/DeserializationConfig.<init>:(Lcom/fasterxml/jackson/databind/cfg/BaseSettings;Lcom/fasterxml/jackson/databind/jsontype/SubtypeResolver;Lcom/fasterxml/jackson/databind/introspect/SimpleMixInResolver;Lcom/fasterxml/jackson/databind/util/RootNameLookup;Lcom/fasterxml/jackson/databind/cfg/ConfigOverrides;Lcom/fasterxml/jackson/databind/cfg/CoercionConfigs;Lcom/fasterxml/jackson/databind/cfg/DatatypeFeatures;)V", "all", 11, 11, 1
"com/fasterxml/jackson/databind/introspect/AnnotatedClass.getRawType:()Ljava/lang/Class;", "all", 11, 10, 2
